                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7649,                 5.7188,                 4.1572,                      0,                      0,                      0,                      0,                  2.699,                  4.952,                 4.1296,                0.00015,                0.00015,                0.00015
                      2,                 2.6293,                 5.6093,                 4.0127,                      0,                      0,                      0,                      0,                 2.4463,                 4.9097,                 4.0082,             0.00030198,             0.00030198,             0.00030198
                      3,                 2.4032,                 5.4396,                 3.6742,                      0,                      0,                      0,                      0,                 2.1008,                 4.8875,                 3.7624,             0.00045089,             0.00045089,             0.00045089
                      4,                 2.1713,                 4.8229,                 3.1609,                0.01356,                0.11632,                0.01316,                0.00518,                  1.671,                  4.815,                 3.3071,             0.00048515,             0.00048515,             0.00048515
                      5,                 2.0883,                 4.3795,                 2.8769,                0.20673,                0.19271,                0.06096,                0.04231,                 1.5858,                 9.5183,                 2.4309,             0.00048515,             0.00048515,             0.00048515
                      6,                 1.8345,                 4.0373,                 2.6128,                0.34038,                0.04201,                0.10502,                0.07388,                 1.2669,                 3.7293,                 2.1449,              0.0004802,              0.0004802,              0.0004802
                      7,                  1.747,                 3.7535,                 2.4563,                0.23238,                0.57431,                0.11543,                0.08829,                 1.0065,                 3.3962,                 1.7199,             0.00047525,             0.00047525,             0.00047525
                      8,                  1.603,                 3.5652,                 2.3042,                0.12778,                  0.632,                0.15688,                 0.1067,                 1.1444,                 2.8423,                  1.802,              0.0004703,              0.0004703,              0.0004703
                      9,                 1.4099,                 3.3985,                  2.088,                0.12797,                0.54226,                0.15906,                0.12285,                0.87386,                 2.7776,                 1.5624,             0.00046535,             0.00046535,             0.00046535
                     10,                 1.4149,                 3.3974,                 2.0898,                0.14361,                0.88478,                0.17391,                0.14532,                0.74317,                 2.5242,                 1.4455,              0.0004604,              0.0004604,              0.0004604
                     11,                 1.2821,                 3.1957,                 1.9587,                0.24067,                0.55288,                0.16793,                0.14321,                0.74642,                 2.4613,                 1.4034,             0.00045545,             0.00045545,             0.00045545
                     12,                 1.1435,                 3.0797,                 1.8337,                0.18127,                0.58348,                0.15775,                0.13489,                 0.6669,                 2.3231,                 1.2966,              0.0004505,              0.0004505,              0.0004505
                     13,                 1.0949,                 3.0697,                 1.7855,                0.12077,                0.71042,                0.20239,                  0.171,                0.68427,                 2.3513,                 1.3224,             0.00044555,             0.00044555,             0.00044555
                     14,                 1.0578,                 2.9077,                 1.7266,                0.19467,                0.58078,                0.27844,                0.23925,                 0.6227,                  2.254,                 1.2207,              0.0004406,              0.0004406,              0.0004406
                     15,                 1.0029,                 2.8902,                 1.6519,                0.21127,                0.52917,                0.21165,                0.19018,                0.54997,                 2.3872,                  1.168,             0.00043565,             0.00043565,             0.00043565
                     16,                0.94882,                 2.7985,                 1.5853,                0.33055,                 0.6875,                0.27781,                0.24634,                0.54191,                 2.2279,                 1.1338,              0.0004307,              0.0004307,              0.0004307
                     17,                0.97725,                 2.8369,                 1.6349,                0.20173,                0.74583,                0.33384,                0.28867,                0.61678,                 2.1397,                 1.1845,             0.00042575,             0.00042575,             0.00042575
                     18,                0.90945,                 2.7516,                 1.5533,                0.27035,                0.68333,                0.33085,                0.27452,                0.66037,                 2.1557,                 1.2171,              0.0004208,              0.0004208,              0.0004208
                     19,                0.88465,                 2.6654,                   1.53,                0.32679,                0.72396,                0.37712,                0.33421,                0.56634,                 2.0439,                  1.123,             0.00041585,             0.00041585,             0.00041585
                     20,                0.86084,                  2.639,                  1.485,                0.27016,                 0.6655,                0.32762,                0.29107,                0.55975,                 1.9854,                 1.1267,              0.0004109,              0.0004109,              0.0004109
                     21,                0.88409,                 2.5635,                 1.4926,                0.23261,                0.84688,                0.36678,                0.31945,                0.57255,                 1.9465,                  1.138,             0.00040595,             0.00040595,             0.00040595
                     22,                0.86777,                 2.5249,                 1.4734,                0.13207,                0.83408,                0.29504,                0.25794,                0.54837,                 1.8986,                 1.1057,               0.000401,               0.000401,               0.000401
                     23,                0.85543,                 2.4416,                 1.4787,                0.28574,                0.70665,                0.42888,                0.38356,                0.48834,                 1.8024,                 1.0687,             0.00039605,             0.00039605,             0.00039605
                     24,                0.80651,                 2.3606,                 1.4228,                0.46075,                0.58996,                0.39274,                 0.3456,                0.52671,                 1.8651,                 1.1143,              0.0003911,              0.0003911,              0.0003911
                     25,                0.78951,                 2.3133,                 1.4011,                0.18454,                0.74789,                0.36216,                0.31064,                0.58841,                 1.8929,                 1.1451,             0.00038615,             0.00038615,             0.00038615
                     26,                0.79295,                 2.2616,                 1.4023,                0.31992,                 0.7439,                0.44773,                0.39356,                0.53347,                 1.6426,                  1.102,              0.0003812,              0.0003812,              0.0003812
                     27,                0.73383,                 2.1992,                 1.3471,                0.27533,                0.69944,                0.39518,                0.34631,                0.54181,                 1.6495,                 1.1019,             0.00037625,             0.00037625,             0.00037625
                     28,                0.80057,                 2.2017,                 1.3805,                0.38231,                0.67629,                 0.4026,                0.35919,                0.49589,                  1.564,                 1.0646,              0.0003713,              0.0003713,              0.0003713
                     29,                0.73734,                 2.1819,                 1.3445,                0.42995,                0.76193,                0.42343,                0.37554,                0.55622,                 1.6254,                 1.1001,             0.00036635,             0.00036635,             0.00036635
                     30,                0.74146,                 2.0852,                 1.3422,                 0.3241,                0.82224,                0.44139,                0.39691,                0.49751,                 1.5383,                 1.0617,              0.0003614,              0.0003614,              0.0003614
                     31,                 0.7604,                 2.1032,                 1.3683,                 0.3496,                0.83292,                0.45601,                0.41087,                0.49639,                 1.6992,                 1.0609,             0.00035645,             0.00035645,             0.00035645
                     32,                0.74068,                 2.0213,                 1.3433,                0.46093,                0.80064,                0.54416,                0.48908,                0.50392,                 1.4823,                 1.0465,              0.0003515,              0.0003515,              0.0003515
                     33,                0.74202,                 2.0281,                 1.3293,                0.47227,                0.69885,                0.50053,                0.45604,                0.52167,                 1.4439,                 1.0647,             0.00034655,             0.00034655,             0.00034655
                     34,                0.77109,                 2.0684,                  1.377,                0.33582,                0.71987,                0.43374,                0.39359,                0.50919,                 1.4514,                 1.0697,              0.0003416,              0.0003416,              0.0003416
