,id,timestamp,sense_hum,sense_temp,open_hum,open_temp,pressure,water_temp
3,4,2024-02-21 09:24:31,40.8,21.9,70.0,6.74,1027.0,30.0
4,5,2024-02-21 09:29:39,41.5,21.7,71.0,6.81,1028.0,30.0
5,6,2024-02-21 09:34:45,41.8,21.6,68.0,7.3,1028.0,30.0
6,6,2024-02-21 09:34:45,41.8,21.6,68.0,7.3,1028.0,29.0
7,7,2024-02-21 09:39:52,42.0,21.6,68.0,7.3,1028.0,29.0
8,8,2024-02-21 09:45:06,41.8,21.6,68.0,7.4,1028.0,28.0
9,9,2024-02-21 09:50:24,41.6,21.6,68.0,7.3,1028.0,28.0
10,10,2024-02-21 09:55:36,41.6,21.6,66.0,7.95,1028.0,28.0
11,11,2024-02-21 10:00:54,41.6,21.6,66.0,7.93,1028.0,28.0
12,12,2024-02-21 10:11:41,41.6,21.6,65.0,8.12,1028.0,27.0
13,13,2024-02-21 10:16:48,41.6,21.7,65.0,8.67,1028.0,27.0
14,14,2024-02-21 10:21:54,41.5,21.7,65.0,8.89,1028.0,26.0
15,14,2024-02-21 10:21:54,41.5,21.7,65.0,8.89,1028.0,27.0
16,15,2024-02-21 10:27:00,41.5,21.7,65.0,8.89,1028.0,26.0
17,16,2024-02-21 10:32:07,41.5,21.7,65.0,8.96,1028.0,26.0
18,17,2024-02-21 10:37:13,41.6,21.7,65.0,8.96,1028.0,26.0
19,18,2024-02-21 10:42:25,41.5,21.7,63.0,9.28,1028.0,26.0
20,19,2024-02-21 10:47:33,41.5,21.7,63.0,9.46,1028.0,26.0
21,20,2024-02-21 10:52:40,41.4,21.7,64.0,9.8,1028.0,26.0
22,21,2024-02-21 10:57:47,41.5,21.7,63.0,10.0,1028.0,25.0
23,21,2024-02-21 10:57:47,41.5,21.7,63.0,10.0,1028.0,26.0
24,22,2024-02-21 11:02:54,41.6,21.7,63.0,9.84,1028.0,25.0
25,23,2024-02-21 11:08:00,41.5,21.7,63.0,9.84,1028.0,25.0
26,24,2024-02-21 11:13:06,41.4,21.8,64.0,10.12,1027.0,25.0
27,25,2024-02-21 11:18:14,41.4,21.8,62.0,10.47,1027.0,25.0
28,26,2024-02-21 11:23:21,41.3,21.7,60.0,10.97,1027.0,24.0
29,26,2024-02-21 11:23:21,41.3,21.7,60.0,10.97,1027.0,25.0
30,27,2024-02-21 11:28:28,41.4,21.8,60.0,11.04,1027.0,24.0
31,28,2024-02-21 11:33:34,41.5,21.8,60.0,11.04,1027.0,24.0
32,29,2024-02-21 11:38:41,41.3,21.8,60.0,11.33,1027.0,24.0
33,30,2024-02-21 11:43:50,41.4,21.8,60.0,11.26,1027.0,24.0
34,31,2024-02-21 11:49:02,41.4,21.8,60.0,11.24,1027.0,24.0
35,32,2024-02-21 11:54:08,41.3,21.8,60.0,11.24,1027.0,24.0
36,33,2024-02-21 11:59:15,41.4,21.8,59.0,11.53,1027.0,24.0
37,34,2024-02-21 12:04:21,41.4,21.8,59.0,11.53,1027.0,24.0
38,35,2024-02-21 12:09:28,41.4,21.8,59.0,11.59,1027.0,24.0
39,35,2024-02-21 12:09:28,41.4,21.8,59.0,11.59,1027.0,23.0
40,36,2024-02-21 12:14:36,41.5,21.8,59.0,11.63,1027.0,24.0
41,36,2024-02-21 12:14:36,41.5,21.8,59.0,11.63,1027.0,23.0
42,37,2024-02-21 12:19:46,41.5,21.8,59.0,11.81,1027.0,23.0
43,38,2024-02-21 12:24:53,41.5,21.8,59.0,11.78,1027.0,23.0
44,39,2024-02-21 12:29:59,41.4,21.9,59.0,11.79,1027.0,23.0
45,40,2024-02-21 12:35:07,41.4,21.9,58.0,11.92,1027.0,23.0
46,41,2024-02-21 12:40:14,41.4,21.9,59.0,12.08,1027.0,23.0
47,42,2024-02-21 12:45:22,41.4,21.9,57.0,12.38,1027.0,23.0
48,43,2024-02-21 12:50:32,41.3,21.9,56.0,12.58,1027.0,23.0
49,44,2024-02-21 12:55:39,41.4,21.9,56.0,12.53,1027.0,23.0
50,45,2024-02-21 13:00:52,41.4,21.9,56.0,12.64,1027.0,23.0
51,46,2024-02-21 13:11:39,41.3,21.9,54.0,13.31,1027.0,23.0
52,47,2024-02-21 13:16:45,41.3,21.9,53.0,13.56,1026.0,23.0
53,48,2024-02-21 13:21:52,41.4,21.9,54.0,13.51,1026.0,23.0
54,49,2024-02-21 13:26:59,41.4,21.9,54.0,13.65,1026.0,23.0
55,50,2024-02-21 13:32:11,41.3,21.9,54.0,13.77,1026.0,23.0
56,51,2024-02-21 13:37:22,41.3,21.9,54.0,13.87,1026.0,23.0
57,52,2024-02-21 13:42:28,41.4,21.9,54.0,13.89,1026.0,23.0
58,53,2024-02-21 13:47:36,41.4,21.9,53.0,14.05,1026.0,23.0
